俳句,作者,季語,季節,出典,前書,評言,評者,備考
句を玉と暖めてをる炬燵かな,高浜虚子,炬燵,冬,六百句,,,,
世の中を遊びごころや氷柱折る,高浜虚子,氷柱,冬,六百五十句,,,,
初蝶来何色と問ふ黄と答ふ,高浜虚子,物蝶,春,六百五十句,,,,
我生の今日の昼寝も一大事,高浜虚子,昼寝,夏,六百五十句,,,,
いつ死ぬる金魚と知らず美しき,高浜虚子,金魚,夏,六百五十句,,,,
秋灯や夫婦互に無き如く,高浜虚子,秋灯,秋,六百五十句,,,,
茎右往左往菓子器のさくらんぼ,高浜虚子,桜桃,夏,六百五十句,,,,
爛々と昼の星見え菌（きのこ）生え,高浜虚子,茸,秋,六百五十句,,,,
海女とても陸（くが）こそよけれ桃の花,高浜虚子,桃の花,春,六百五十句,,,,
秋天にわれがぐんぐんぐんぐんと,高浜虚子,秋の空,秋,六百五十句,,,,
大紅葉燃え上がらんとしつつあり,高浜虚子,紅葉,秋,六百五十句,,,,
やはらかき餅の如くに冬日かな,高浜虚子,冬日,冬,六百五十句,,,,
虚子一人銀河と共に西へ行く,高浜虚子,銀河,秋,六百五十句,,,,
大空にうかめる如き玉椿,高浜虚子,玉椿,春,六百五十句,,,,
彼一語我一語秋深みかも,高浜虚子,秋,秋,六百五十句,,,,
去年今年貫く棒の如きもの,高浜虚子,去年今年,新年,六百五十句,,,,
熱燗に泣きをる上戸ほつておけ,高浜虚子,熱燗,冬,六百五十句,,,,
ゆらぎ見ゆ百の椿が三百に,高浜虚子,椿,春,七百五十句,,,,
何事も知らずと答へ老の春,高浜虚子,春,春,七百五十句,,,,
すぐ来いといふ子規の夢明易き,高浜虚子,短夜,夏,七百五十句,,,,
人生の台風圏に今入りし,高浜虚子,台風,秋,七百五十句,,,,
コスモスの花あそびをる虚空かな,高浜虚子,コスモス,秋,七百五十句,,,,
一切を抛擲し去り大昼寝,高浜虚子,昼寝,夏,七百五十句,,,,
我を見て舌を出したる大蜥蜴,高浜虚子,蜥蜴,夏,七百五十句,,,,
大空の青艶（えん）にして流れ星,高浜虚子,流れ星,秋,七百五十句,,,,
蜘蛛に生れ網をかけねばならぬかな,高浜虚子,蜘蛛,夏,七百五十句,,,,
不精にて年賀を略す他意あらず,高浜虚子,年賀,新年,七百五十句,,,,
我れが行く天地万象凍てし中,高浜虚子,凍つ,冬,七百五十句,,,,
風生と死の話して涼しさよ,高浜虚子,涼し,夏,七百五十句,,,,
灯をともす指の間の春の闇,高浜虚子,春の闇,春,七百五十句,,,,
春の山屍をうめてむなしかり,高浜虚子,春の山,春,七百五十句,,,,
独り句の推敲をして遅き日を,高浜虚子,遅日,春,七百五十句,,,,
子規逝くや十七日の月明に,高浜虚子,子規忌,秋,虚子自選句集岩波文庫,,,,
箒木に影といふものありにけり,高浜虚子,箒木,夏,虚子自選句集岩波文庫,,,,
春浅き水を渉るや鷺一つ,河東碧梧桐,春浅し,春,碧梧桐句集,,,,
桃咲くや湖水のへりの十箇村,河東碧梧桐,桃の花,春,碧梧桐句集,,,,
春寒し水田の上の根なし雲,河東碧梧桐,春寒,春,碧梧桐句集,,,,
ひたひたと春の潮打つ鳥居かな,河東碧梧桐,春の潮,春（通季）,碧梧桐句集,,,,
ちさい子の走りてあがる凧,河東碧梧桐,凧,春,碧梧桐句集,,,,
旅にして昼餉の酒や桃の花,河東碧梧桐,桃の花,春,碧梧桐句集,,,,
赤い椿白い椿と落ちにけり,河東碧梧桐,椿,春,碧梧桐句集,,,,
空（くう）をはさむ蟹死にをるや雲の峰,河東碧梧桐,雪の峰,夏,碧梧桐句集,,,,
鳥渡り明日はと望む山夏野,河東碧梧桐,夏野,夏,碧梧桐句集,,,,
馬方の喧嘩も果てて蚊遣かな,河東碧梧桐,蚊遣,夏,碧梧桐句集,,,,
天領の境にさくや桐の花,河東碧梧桐,桐の花,夏,碧梧桐句集,,,,
ひやひやと積木が上に海見ゆる,河東碧梧桐,ひやひやと,秋,碧梧桐句集,,,,
川上の水静かなる花野かな,河東碧梧桐,花野,秋,碧梧桐句集,,,,
露深し胸毛の濡るる朝の鹿,河東碧梧桐,露,秋,碧梧桐句集,,,,
鳥渡る博物館の林かな,河東碧梧桐,鳥渡る,秋,碧梧桐句集,,,,
から松は淋しき木なり赤蜻蛉,河東碧梧桐,赤蜻蛉,秋,碧梧桐句集,,,,
螽（いなご）飛ぶ草に蟷螂じつとして,河東碧梧桐,螽,秋,碧梧桐句集,,,,
この道の富士になりゆく芒かな,河東碧梧桐,芒,秋,碧梧桐句集,,,,
豊かなる年の落穂を祝ひけり,河東碧梧桐,落穂,秋,碧梧桐句集,,,,
流れたる花屋の水の氷りけり,河東碧梧桐,氷,冬,碧梧桐句集,,,,
不忍や水鳥の夢夜の三味,河東碧梧桐,水鳥,冬,碧梧桐句集,,,,
思はずもヒヨコ生れぬ冬薔薇,河東碧梧桐,冬薔薇,冬,碧梧桐句集,,,,
初日さす朱雀道りの静さよ,河東碧梧桐,初日,新年,碧梧桐句集,,,,
曳かれる牛が辻でずつと見廻した秋空だ,河東碧梧桐,秋空,秋,八年間,,,,
元日や日のあたりをる浅間山,臼田亞浪,元日,新年,亞浪俳句,,,,
鵯のそれきり鳴かず雪の暮,臼田亞浪,雪,冬,亞浪俳句,,,,
氷曳く音こきこきと杉間かな,臼田亞浪,氷,冬,亞浪俳句,,,,
木曽路ゆく我も旅人散る木の葉,臼田亞浪,木の葉,冬,亞浪俳句,木曽路を辿りて,,,木曽路を辿りて
今日も暮るる吹雪の底の大日輪,臼田亞浪,吹雪,冬,亞浪俳句,,,,
郭公や何処までゆかば人に逢はむ,臼田亞浪,郭公,夏,亞浪俳句,,,,
コスモスへゆきかまつかへゆき憩ふ,臼田亞浪,コスモス,秋,白道,,,,
元日やふどしたたんで枕上ﾐ,村上鬼城,元日,新年,定本鬼城句集,,,,
春寒やぶつかり歩く盲犬,村上鬼城,春寒,春,定本鬼城句集,,,,
世を恋ふて人を恐るる余寒かな,村上鬼城,余寒,春,定本鬼城句集,,,,
春の夜や灯を囲み居る盲者達,村上鬼城,春の夜,春,定本鬼城句集,,,,
榛名山大霞して真昼かな,村上鬼城,霞,春,定本鬼城句集,,,,
残雪やごうごうと吹く松の風,村上鬼城,残雪,春,定本鬼城句集,,,,
治聾酒の酔ふほどもなくさめにけり,村上鬼城,治聾酒,春,定本鬼城句集,,,,
生きかはり死にかはりして打つ田かな,村上鬼城,田打,春,定本鬼城句集,,,,
闘鶏の眼つぶれて飼はれけり,村上鬼城,闘鶏,春,定本鬼城句集,,,,
己が影を慕うて這へる地虫かな,村上鬼城,地虫出づ,春,定本鬼城句集,,,,
川底に蝌蚪の大国ありにけり,村上鬼城,蝌蚪,春,定本鬼城句集,,,,
ゆさゆさと大枝ゆるる桜かな,村上鬼城,桜,春,定本鬼城句集,,,,
念力のゆるめば死ぬる大暑かな,村上鬼城,大暑,夏,定本鬼城句集,,,,
五月雨や起上がりたる根無草,村上鬼城,五月雨,夏,定本鬼城句集,,,,
雹（ひよう）晴れて豁然とある山河かな,村上鬼城,雹,夏,定本鬼城句集,,,,
水すまし水に跳て水鉄の如し,村上鬼城,水すまし,夏,定本鬼城句集,,,,
夏草に這上がりたる捨蚕（すてご）かな,村上鬼城,夏草,夏,定本鬼城句集,,,,
秋の暮水のやうなる酒二合,村上鬼城,秋の暮,秋,定本鬼城句集,,,,
痩馬のあはれ機嫌や秋高し,村上鬼城,秋高し,秋,定本鬼城句集,,,,
さみしさに早飯食ふや秋の暮,村上鬼城,秋の暮,秋,定本鬼城句集,,,,
けふの月馬も夜道を好みけり,村上鬼城,月,秋,定本鬼城句集,,,,
月さして一ト間の家でありにけり,村上鬼城,月,秋,定本鬼城句集,,,,
親よりも白き羊や今朝の秋,村上鬼城,今朝の秋,秋,定本鬼城句集,,,,
蛤に雀の斑あり哀れかな,村上鬼城,蛤,春,定本鬼城句集,,,,
小春日や石を噛み居る赤蜻蛉,村上鬼城,小春日,冬,定本鬼城句集,,,,
冬の日や前に塞がる己が影,村上鬼城,冬の日,冬,定本鬼城句集,,,,
鷹のつらきびしく老いて哀れなり,村上鬼城,鷹,冬,定本鬼城句集,,,,
冬蜂の死に所なく歩きけり,村上鬼城,冬峰,冬,定本鬼城句集,,,,
のどけさに寝てしまひけり草の上,松根東洋城,長閑,春,東洋城千句集,,,,
黛（まゆずみ）を濃うせよ草は芳しき,松根東洋城,芳草,春,東洋城千句集,,,,
渋柿の如きものにては候へど,松根東洋城,柿,秋,東洋城千句集,,,,
絶壁に眉つけて飲む清水かな,松根東洋城,清水,夏,東洋城千句集,,,,
冬山やどこまで登る郵便夫,渡邊水巴,冬山,冬,水巴句帖,,,,
天渺々笑ひたくなりし花野かな,渡邊水巴,花野,秋,續水巴句帖,,,,
白日は我が霊なりし落葉かな,渡邊水巴,落葉,冬,白日,,,,
さざ波は立春の譜をひろげたり,渡邊水巴,立春,春（冬）,白日,,,,
てのひらに落花とまらぬ月夜かな,渡邊水巴,月夜,秋,白日,,,,
かたまつて薄き光の菫かな,渡邊水巴,菫,春,白日,鹿野山にて,,,鹿野山にて
月光にぶつかつて行く山路かな,渡邊水巴,月光,秋,白日,,,,
一筋の秋風なりし蚊遣香,渡邊水巴,秋風,秋,白日,,,,
寂寞（じやくまく）と湯婆に足をそろへけり,渡邊水巴,湯婆,冬,新月,,,,
うすめても花の匂ひの葛湯かな,渡邊水巴,葛湯,冬,水巴句集,,葛は河原や野原で他の木などに絡みついて繁茂する生命力のある植物です。蔓は強靭で根は葛根と呼ばれ漢方薬（葛根湯）が作られるなど、民間療法として伝統的に用いられてきました。葛粉は吉野の本葛が高級品とされ和三盆を混ぜたものが葛湯となります。葛湯には桜の花びら、抹茶、柚子、生姜等を混ぜたものも多くみられます。私の子どもの頃の１９６０年代には、白い粉に湯を注ぎいれかき回すことで透明になる飲み物の不思議さが好きで風邪の引き始め、寒い夜の団欒に母が作ってくれた葛湯は楽しい思い出です。草間時彦に「匙重くなりて葛湯の煮えにけり」がありますが、これは葛湯を実際に作る感じが出ています。また、葛湯のゆるゆるとしたとろみの透明感には、しっかりと葛に閉じ込められていた物の本質、色、香りがとろりとした透明感の中にふくふくとあふれ出てくるのが感じられます。冴えた透明感では見えない、理性では割り切れない奥行きのある、向こう側が溶けてきます。この句の「花の匂」は葛のそれでしょうか。葛の花は８月～９月ごろに赤紫の豆の花ような花を咲かせ、甘い芳香があります。この句の「うすめても花の匂の」は淡いピンクに包まれたあたたかな情のある女性の姿さえもほのかに見えてきます。渡辺水巴（１８８２～１９４６）は「ホトトギス」の大正初期の主観時代を最初に形成した作家」（小島健）で「洗練された芸」と「繊細な美的感覚に貫かれた独特の美的世界」（同前）といいます。この葛湯の句にもそうした美意識が濃厚です。,田辺花,
もつ花におつるなみだや墓まゐり,飯田蛇笏,墓参,秋（夏）,山廬集,,,,
鈴おとのかすかにひびく日傘かな,飯田蛇笏,日傘,夏,山廬集,,,,
就中学窓の灯や露の中,飯田蛇笏,露,秋,山廬集,,,,
かりそめに燈籠おくや草の中,飯田蛇笏,灯籠,秋,山廬集,,,,
くれなゐのこころの闇の冬日かな,飯田蛇笏,冬日,冬,山廬集,,,,
炉ほとりの甕に澄む日や十二月,飯田蛇笏,十二月,冬,山廬集,,,,
ふるさとの雪に我ある大爐かな,飯田蛇笏,雪,冬,山廬集,,,,
古き世の火の色うごく野焼かな,飯田蛇笏,野焼,春,山廬集,,,,
大江戸の街は錦や草枯るる,飯田蛇笏,枯草,冬,山廬集,,,,
幽冥へおつる音あり灯取虫,飯田蛇笏,灯取虫,夏,山廬集,,,,
秋風や眼前湧ける月の謎,飯田蛇笏,秋風,秋,山廬集,,,,
竈火赫とただ秋風の妻を見る,飯田蛇笏,秋風,秋,山廬集,,,,
芋の露連山影を正しうす,飯田蛇笏,露,秋,山廬集,,,,
つぶらなる汝が眼吻はなん露の秋,飯田蛇笏,秋,秋,山廬集,,,,
かりがねに乳はる酒肆の婢ありけり,飯田蛇笏,雁,秋,山廬集,,,,
梵妻を恋ふ乞食あり烏瓜,飯田蛇笏,鳥瓜,秋,山廬集,,,,
ある夜月に富士大形の寒さかな,飯田蛇笏,寒さ,冬,山廬集,,,,
閨怨のまなじり幽し野火の月,飯田蛇笏,野火,春,山廬集,,,,
たましひのしづかにうつる菊見かな,飯田蛇笏,菊見,秋,山廬集,,,,
山国の虚空日わたる冬至かな,飯田蛇笏,冬至,冬,山廬集,,,,
雪晴れてわが冬帽の蒼さかな,飯田蛇笏,冬帽子,冬,山廬集,,,,
死病得て爪うつくしき火桶かな,飯田蛇笏,火桶,冬,山廬集,,,,
落葉ふんでひと道念を全うす,飯田蛇笏,落葉,冬,山廬集,,,,
三伏の穢に鳴く荒鵜かな,飯田蛇笏,鵜,夏,山廬集,,,,
筆硯に多少のちりも良夜かな,飯田蛇笏,良夜,秋,山廬集,,,,
夏山や又大川にめぐりあふ,飯田蛇笏,夏山,夏,山廬集,,,,
一鷹を生む山風や蕨伸ぶ,飯田蛇笏,蕨,春,山廬集,,,,
流燈や一つにはかにさかのぼる,飯田蛇笏,灯籠流し,秋,山廬集,,,,
滝風に吹かれあがりぬ石たたき,飯田蛇笏,石叩,秋,山廬集,,,,
ぬぎすてし人の温みや花衣,飯田蛇笏,花衣,春,山廬集,,,,
ゆく雲にしばらくひそむ帰燕かな,飯田蛇笏,帰燕,秋,山廬集,,,,
信心の母にしたがふ盆会かな,飯田蛇笏,盆会,秋（夏）,山廬集,,,,
極寒の塵もとどめず岩ぶすま,飯田蛇笏,極寒,冬,山廬集,富士川舟行,,,富士川舟行
死骸（なきがら）や秋風かよふ鼻の穴,飯田蛇笏,秋風,秋,山廬集,,,,
たましひのたとへば秋のほたる哉,飯田蛇笏,秋の蛍,秋,山廬集,芥川龍之介氏の長逝を深悼す,,,芥川龍之介氏の長逝を深悼す
いんぎんにことづてたのむ淑気かな,飯田蛇笏,淑気,新年,山廬集,,,,
ひたひたと寒九の水や廚甕,飯田蛇笏,寒九,冬,山廬集,,,,
春蘭の花とりすつる雲の中,飯田蛇笏,春蘭,春,山廬集,,,,
をりとりてはらりとおもきすすきかな,飯田蛇笏,芒,秋,蛇笏俳句選集,,,,
わらんべの溺るるばかり初湯かな,飯田蛇笏,初湯,新年,山廬集,,,,
秋立つや川瀬にまじる風の音,飯田蛇笏,立秋,秋,現代俳句文學全集第三巻飯田蛇笏集,,,,
切株において全き熟柿かな,飯田蛇笏,柿,秋,霊芝,,,,
寒鯉の黒光りして斬られけり,飯田蛇笏,寒鯉,冬,霊芝,,,,
死火山の膚つめたくて草いちご,飯田蛇笏,草苺の花,春,霊芝,,,,
大つぶの寒卵おく襤褸の上,飯田蛇笏,寒卵,冬,霊芝,,,,
鼈（すつぽん）をくびきる夏のうす刃かな,飯田蛇笏,夏,夏,霊芝,,,,
よき娘きて軍鶏流眄す秋日かな,飯田蛇笏,秋日,秋,霊芝,,,,
雪山を匐ひまわりゐる谺かな,飯田蛇笏,雪山,冬,霊芝,,,,
秋鶏が見てゐる陶の卵かな,飯田蛇笏,秋鶏,秋,霊芝,,,,
草川のそよりともせぬ曼珠沙華,飯田蛇笏,曼珠沙華,秋,山響集,,,,
月光のしたたたりかかる鵜籠かな,飯田蛇笏,鵜籠,夏（通季）,山響集,,,,
冬の蟇川にはなてば泳ぎけり,飯田蛇笏,冬,冬,山響集,,,,
山の童の木菟捕らえたる鬨あげぬ,飯田蛇笏,木菟,冬,山響集,,,,
夏雲群るこの峡中に死ぬるかな,飯田蛇笏,夏雲,夏,飯田蛇笏集成,,,,
夏真昼死は半眼に人をみる,飯田蛇笏,夏の昼,夏,白嶽,,,,
高浪にかくるる秋のつばめかな,飯田蛇笏,秋燕,秋,白嶽,,,,
